1-OB-OP.1	atte	2020-09-07 11:45:19	neutral	Esko Vatanen 
1-OB-OP.2	atte	2020-09-07 11:45:19	neutral	Keskusareena vie 1,5 miljoonaa euroa vuodessa liikunnasta bisnekselle 
1-OB-OP.3	atte	2020-09-07 11:45:19	neutral	Tampereen Keskusareena hankkeessa on mukana myös muutamia muita kuin jääkiekon edustajia.
1-OB-OP.4	atte	2020-09-07 11:45:19	neutral	Heille on Areenahankkeen esittelyn mukaan luvattu siirtää Hakametsän hallit muiden lajien käyttöön.
1-OB-OP.5	atte	2020-09-07 11:45:19	neutral	Hankkeen mukaan Hakametsän kehittäminen ja ylläpito tapahtuisi kuitenkin sinne harrastuksiaan siirtävien seurojen rahoilla.
1-OB-OP.6	atte	2020-09-07 11:45:19	neutral	Kaupungin nykyinen panostus siirtyisi Hakametsästä uudelle Areenalle.
1-OB-OP.7	atte	2020-09-07 11:45:19	neutral	Tämä merkitsee noin 1,5 miljoonan euron kaupungin tuen siirtymistä pois muusta urheilusta bisnekselle perustuvan hallin ylläpitämiseen vuodessa.
3-AV-OP.1	atte	2020-09-07 11:45:19	neutral	Raha-asiat 
3-AV-OP.2	atte	2020-09-07 11:45:19	neutral	Oman talouden hoitamisen hankaluus yllättää monet nuoret kun muutto omaan ensimmäiseen asuntoon on ajankohtaista.
3-AV-OP.3	atte	2020-09-07 11:45:19	other	Miten saada kaikki rahat riittämään? 
3-AV-OP.4	atte	2020-09-07 11:46:08	other	Mikä neuvoksi yllättävien menojen ilmetessä kun vanhempien lompakko ei enää olekaan sinulle se viimeinen ja käytetyin oljenkorsi? 
3-AV-OP.5	atte	2020-09-07 11:46:08	neutral	Vanha sanonta raha-asioissa pätee vielä tänäkin päivänä.
3-AV-OP.6	atte	2020-09-07 11:46:08	other	" Oleellisinta eivät ole niinkään ne suuret tulot vaan ne pienet menot." 
3-AV-OP.7	atte	2020-09-07 11:46:08	neutral	Kuluttajana sinun itse täytyy suunnitella, millä perusteella rahaa käytät ja mihin.
3-AV-OP.8	atte	2020-09-07 11:46:08	neutral	Järkevällä suunnittelulla saat vähäisetkin rahat riittämään paremmin välttämättömiin hankintoihin.
3-AV-OP.9	atte	2020-09-07 11:46:08	neutral	Yllättäviin menoihin kannattaa varautua jo etukäteen.
